Entity,Year,Renewable Energy Percentage
Albania,2010,100.0
Albania,2011,98.55421686746989
Albania,2012,100.0
Albania,2013,100.0
Albania,2014,100.0
Albania,2015,100.0
Albania,2016,100.0
Albania,2017,100.0
Albania,2018,100.0
Albania,2019,100.0
Albania,2020,100.0
Armenia,2010,41.10032362459547
Armenia,2011,34.794908062234796
Armenia,2012,30.22339027595269
Armenia,2013,29.452054794520542
Armenia,2014,26.875852660300136
Armenia,2015,29.539295392953935
Armenia,2016,33.52517985611511
Armenia,2017,30.570652173913043
Armenia,2018,31.300813008130078
Armenia,2019,33.013698630136986
Armenia,2020,25.771812080536915
Austria,2010,66.24944779855691
Austria,2011,65.70831994860264
Austria,2012,74.71615720524018
Austria,2013,78.1854776281158
Austria,2014,81.46705615060044
Austria,2015,76.94421988682296
Austria,2016,78.28352490421454
Austria,2017,75.71937110649658
Austria,2018,76.9680196801968
Austria,2019,77.10979395992096
Austria,2020,80.0982800982801
Azerbaijan,2010,19.211267605633804
Azerbaijan,2011,13.787721123829344
Azerbaijan,2012,8.294930875576037
Azerbaijan,2013,6.672719019518839
Azerbaijan,2014,5.5317324185248715
Azerbaijan,2015,6.958762886597938
Azerbaijan,2016,8.48536274925753
Azerbaijan,2017,7.79616724738676
Azerbaijan,2018,7.85054575986566
Azerbaijan,2019,6.869918699186991
Azerbaijan,2020,5.004101722723544
Belarus,2010,0.3658536585365854
Belarus,2011,0.3968253968253968
Belarus,2012,0.55286800276434
Belarus,2013,0.9797297297297298
Belarus,2014,0.827459393196445
Belarus,2015,0.9056839475327918
Belarus,2016,1.2678288431061808
Belarus,2017,2.310536044362292
Belarus,2018,2.20949263502455
Belarus,2019,2.4946921443736727
Belarus,2020,3.5082872928176787
Belgium,2010,7.042101862818995
Belgium,2011,9.331836047164515
Belgium,2012,12.908376320314419
Belgium,2013,14.329417523250124
Belgium,2014,17.211728221031862
Belgium,2015,21.212566059894304
Belgium,2016,16.972367794187708
Belgium,2017,18.603555869539623
Belgium,2018,23.354189336235038
Belgium,2019,21.091972700682483
Belgium,2020,26.69245647969052
Bosnia and Herzegovina,2010,48.18181818181818
Bosnia and Herzegovina,2011,29.766803840877916
Bosnia and Herzegovina,2012,31.026785714285715
Bosnia and Herzegovina,2013,42.72076372315036
Bosnia and Herzegovina,2014,38.0
Bosnia and Herzegovina,2015,36.740146960587836
Bosnia and Herzegovina,2016,33.07828134196586
Bosnia and Herzegovina,2017,24.450194049159123
Bosnia and Herzegovina,2018,35.526315789473685
Bosnia and Herzegovina,2019,37.85242951409718
Bosnia and Herzegovina,2020,31.170483460559794
Bulgaria,2010,12.527185732927359
Bulgaria,2011,7.787787787787788
Bulgaria,2012,11.295180722891567
Bulgaria,2013,16.054832713754642
Bulgaria,2014,15.75021312872975
Bulgaria,2015,17.967145790554415
Bulgaria,2016,15.798922800718135
Bulgaria,2017,13.64344535944803
Bulgaria,2018,20.154705629565967
Bulgaria,2019,17.100456621004565
Bulgaria,2020,18.572849328692193
Croatia,2010,62.88032454361054
Croatia,2011,47.01691896705254
Croatia,2012,49.669499527856466
Croatia,2013,66.52329749103943
Croatia,2014,73.95833333333334
Croatia,2015,66.84444444444443
Croatia,2016,66.24405705229795
Croatia,2017,60.39016115351994
Croatia,2018,72.17712177121771
Croatia,2019,65.95576619273301
Croatia,2020,64.57703927492446
Cyprus,2010,1.5009380863039399
Cyprus,2011,3.4552845528455287
Cyprus,2012,5.508474576271187
Cyprus,2013,7.6923076923076925
Cyprus,2014,7.142857142857142
